ad,ad,fr,mc,es,ch,je,li,gg,lu,sm,pt,va,it,be,gi,nl,hr,si,at,de,tn,ba,mt,cz,im,ie,ma,me,gb,hu,al,sk,rs,xk,dz,dk,mk,pl,gr,ro,bg,no,lt,md,fo,se,lv,ly,by,ua,ee,eh,mr,fi,is,ml,ne,tr,cy,lb,gz,eg,ps,il,sy,jo,bf,ge,td,sn,am,gm,bj,tg,gw,ng,gn,iq,az,cv,gh,ci,sl,gl,sj,cm,lr,sd,kw,cf,sa,pm,gq,ir,st,er,bh,tm,qa,ga,cg,kz,uz,dj,ae,et,ye,ug,om,cd,rw,af,tj,bm,bi,kg,ke,so,pk,ao,tz,ag,ru,ai,gp,ms,kn,dm,bb,mq,vg,lc,vi,zm,vc,pr,gf,gd,tt,mw,tc,sr,do,ca,gy,bs,ht,np,zw,km,in,mn,na,sh,an,sc,cu,aw,yt,bw,mz,ve,jm,us,bt,ky,bd,mg,mv,sz,cn,br,za,ls,co,lk,hn,mm,bz,pa,ni,cr,io,gt,re,sv,mu,ec,kp,bo,mx,la,th,py,pe,kr,mo,hk,kh,uy,jp,vn,tw,my,bv,sg,ar,cc,ph,gs,cl,bn,id,cx,fk,tf,mp,hm,pw,gu,aq,tl,fm,mh,pg,pn,nr,au,ki,sb,tv,pf,tk,vu,ws,as,wf,ck,fj,nc,nu,to,nf,nz
ae,ae,om,qa,bh,sa,kw,ir,ye,iq,pk,er,dj,af,tm,jo,sy,az,am,il,ps,lb,gz,et,so,uz,ge,eg,cy,tj,tr,in,sd,kg,kz,mv,np,ke,sc,lk,bg,ug,ua,gr,md,mk,ro,bt,al,ly,xk,bd,rs,td,me,rw,io,tz,bi,cf,ba,by,mt,hu,km,sk,yt,hr,si,lt,mm,it,pl,va,at,sm,lv,cz,tn,ee,mw,cd,li,mg,cm,mc,fi,ne,ch,de,cg,mu,se,zm,re,th,cn,la,lu,ng,mz,dk,mn,be,nl,dz,ad,fr,gq,ga,no,zw,ao,kh,my,je,es,gg,bj,st,ru,vn,gi,gb,tg,im,sg,bf,bw,ma,ml,pt,sz,mo,gh,ie,hk,cc,fo,sj,na,ls,ci,mr,eh,tw,cx,bn,za,is,gn,lr,kp,id,kr,sl,sn,ph,gm,gw,gl,jp,cv,tf,tl,sh,hm,pw,mp,gu,pm,bv,au,pg,fm,ca,bm,gf,aq,ag,bb,gp,ai,ms,dm,mq,kn,lc,sr,vg,vc,vi,gd,tt,pr,gy,sb,gs,br,tc,do,nr,mh,bs,ht,us,an,aw,ve,cu,jm,vu,nc,ky,uy,py,bo,nf,co,fk,tv,hn,bz,pa,ar,ni,cr,gt,mx,sv,nz,fj,ec,pe,wf,cl,tk,ki,to,ws,as,nu,ck,pf,pn
af,af,pk,tj,uz,tm,kg,ir,kz,np,ae,om,in,qa,bh,az,kw,am,iq,bt,ge,sa,bd,sy,ye,lb,tr,jo,ps,mm,il,gz,cy,lk,cn,mn,ua,mv,er,dj,md,eg,la,bg,by,ro,th,so,et,ru,mk,gr,lt,lv,rs,xk,ee,al,sk,hu,me,fi,pl,ba,sd,kh,sc,io,se,cz,hr,si,at,vn,mo,hk,mt,sm,it,va,my,ly,ke,de,dk,li,ch,no,ug,sg,mc,lu,kp,tw,nl,tn,sj,td,be,kr,fr,rw,tz,cf,km,ad,yt,bi,gb,je,bn,gg,im,ph,fo,cc,mu,ne,ie,id,es,dz,re,mg,jp,mw,cx,cm,cd,is,gi,pt,cg,ng,zm,mz,ma,gq,ga,gl,zw,bj,ml,ao,tg,bf,st,pw,gh,eh,mr,sz,bw,tl,mp,ci,gu,na,ls,gn,sn,lr,sl,gm,za,gw,fm,pg,cv,tf,pm,au,hm,ca,sh,mh,sb,nr,bm,bv,vu,us,nc,ai,ag,gp,kn,ms,tv,vg,dm,vi,mq,bb,lc,pr,tc,bs,vc,gf,gd,nf,do,tt,ht,sr,cu,gy,fj,aq,jm,an,wf,aw,ky,ki,tk,ve,mx,br,ws,nz,to,bz,as,hn,gs,gt,ni,nu,sv,co,pa,cr,py,bo,uy,ec,ck,pe,fk,ar,pf,cl,pn
ag,ag,gp,ms,kn,ai,dm,mq,vg,vi,lc,vc,bb,pr,gd,tt,do,an,aw,ht,tc,ve,gy,sr,jm,bm,gf,cu,bs,co,ky,pa,cr,ni,hn,ec,bz,sv,gt,pe,pm,br,bo,us,cv,mx,py,gm,gw,sn,eh,mr,sl,uy,gn,pt,ma,ca,lr,gi,cl,es,ml,ie,ar,ci,is,gl,gg,im,je,gb,bf,fo,dz,ad,gh,fr,tg,be,nl,bj,lu,mc,ch,li,sh,tn,no,dk,de,ne,sm,va,it,at,si,ng,fk,cz,hr,mt,st,se,ba,pl,sk,hu,me,sj,gq,cm,al,ly,rs,xk,lt,lv,fi,ee,mk,ga,gr,gs,ro,by,pn,bg,td,md,cg,ua,cf,ao,cy,eg,tr,cd,gz,lb,il,ps,jo,na,sd,sy,ge,bv,am,rw,bi,pf,iq,az,bw,zm,ug,za,er,zw,kw,sa,tz,ls,et,ke,mw,aq,dj,sz,kz,ru,ir,bh,tm,mz,qa,ck,uz,ye,ae,so,ki,om,km,tj,kg,yt,af,as,tk,nu,mg,ws,pk,mn,to,sc,wf,re,tv,fj,kp,mh,mu,jp,np,cn,nz,in,kr,bt,tf,nr,hm,bd,mv,nf,vu,io,nc,mm,lk,mp,sb,tw,fm,gu,la,hk,mo,th,vn,kh,ph,pw,pg,my,sg,bn,cc,id,au,cx,tl
ai,ai,kn,vg,gp,ag,ms,vi,dm,pr,mq,lc,vc,bb,gd,do,tt,an,aw,ht,tc,ve,jm,gy,bm,cu,bs,sr,ky,gf,co,pa,cr,ni,hn,bz,ec,sv,gt,pm,pe,us,br,bo,mx,cv,py,gm,gw,sn,eh,mr,ca,sl,uy,pt,ma,gn,lr,gi,cl,ie,gl,is,es,ml,ar,ci,im,gg,je,gb,fo,ad,bf,dz,fr,gh,be,nl,tg,lu,mc,bj,ch,li,no,dk,de,tn,sh,sm,ne,va,it,at,si,cz,hr,mt,ng,fk,se,st,ba,pl,sj,sk,hu,me,al,rs,lt,fi,xk,ee,lv,ly,gq,cm,mk,gr,ro,ga,pn,by,gs,bg,md,td,ua,cg,cf,cy,tr,ao,eg,cd,gz,lb,il,ps,jo,sd,sy,ge,na,am,bv,pf,az,iq,rw,bi,ug,bw,zm,za,er,zw,kw,sa,tz,ru,et,ls,kz,ke,dj,mw,aq,ir,tm,bh,sz,ck,qa,uz,mz,ye,ae,ki,so,om,tj,kg,km,af,as,tk,yt,nu,ws,pk,mn,mg,to,wf,sc,tv,kp,fj,mh,jp,re,np,mu,cn,kr,nz,in,bt,nr,bd,tf,hm,mv,vu,nf,nc,io,mp,mm,lk,sb,tw,fm,gu,hk,la,mo,th,vn,kh,ph,pw,pg,my,sg,bn,cc,id,au,cx,tl
al,al,mk,xk,me,gr,rs,ba,bg,hr,it,va,ro,hu,si,sm,mt,at,sk,md,cz,li,mc,ch,ua,pl,tn,tr,cy,de,lu,by,ad,fr,lt,be,lb,nl,gz,ly,ps,il,lv,sy,dk,jo,eg,ge,je,ee,gg,es,am,se,dz,iq,gi,no,az,im,gb,fi,pt,ie,ma,kw,td,ne,fo,sa,ir,bh,sd,tm,qa,er,ml,eh,is,uz,mr,ae,kz,ng,cm,cf,bf,dj,ye,bj,om,sj,et,tg,af,gh,tj,sn,kg,gq,ci,pk,gn,ug,gm,cg,gw,ga,st,gl,so,sl,lr,rw,ke,cd,bi,cv,tz,ao,ru,np,pm,in,zm,mw,sc,km,mn,bt,yt,bd,zw,mv,mz,lk,cn,bw,na,mg,mm,bm,io,sz,re,mu,sh,ls,la,za,ca,th,ag,ai,gp,ms,kn,dm,bb,mq,vg,lc,vi,gf,vc,kp,pr,gd,tt,sr,tc,kh,mo,do,hk,kr,gy,bs,vn,ht,my,an,cu,aw,tw,us,ve,jm,jp,sg,ky,br,cc,ph,co,bn,hn,bz,pa,ni,id,cx,cr,gt,sv,bo,mx,bv,py,ec,pe,tf,uy,mp,pw,hm,gu,gs,tl,ar,fm,cl,fk,aq,pg,au,mh,nr,sb,tv,ki,vu,nc,tk,pn,wf,fj,ws,nf,as,pf,to,nu,ck,nz
am,am,az,ge,iq,sy,tr,lb,ir,cy,kw,tm,ps,jo,il,gz,ua,md,uz,bg,bh,qa,ro,sa,kz,mk,eg,by,gr,rs,ae,xk,al,af,me,hu,sk,tj,ba,lt,om,pl,lv,pk,hr,ee,kg,si,cz,at,sm,mt,it,va,ye,fi,er,se,de,li,ly,ch,mc,dk,dj,tn,lu,nl,be,sd,no,et,fr,ad,td,np,je,gg,in,so,gb,im,es,dz,fo,ie,sj,ne,bt,gi,cf,pt,ug,ke,bd,ru,mn,ma,is,cm,rw,ng,mv,lk,bi,sc,cn,mm,tz,ml,cg,bj,cd,bf,gq,tg,eh,mr,ga,gl,km,gh,io,la,yt,st,th,mw,ci,zm,gn,ao,sn,gm,mg,kh,lr,mz,sl,gw,mo,hk,kp,vn,zw,mu,re,my,kr,cv,tw,bw,sg,na,sz,pm,jp,cc,ls,bn,ph,za,id,cx,ca,sh,bm,pw,mp,gu,tl,ag,ai,gp,kn,ms,tf,dm,bb,vg,mq,vi,lc,gf,vc,pr,gd,tc,us,tt,bs,do,sr,hm,fm,ht,gy,cu,an,aw,pg,jm,bv,ky,ve,br,au,bz,hn,co,mx,ni,pa,gt,sv,cr,mh,nr,bo,py,sb,ec,gs,uy,pe,aq,vu,ar,nc,tv,fk,cl,ki,nf,fj,wf,tk,ws,as,to,nz,nu,ck,pf,pn
an,an,aw,ve,pr,do,gd,vi,ht,vg,vc,tt,kn,ms,lc,dm,mq,gp,ai,ag,co,bb,tc,jm,pa,gy,cu,ky,cr,bs,sr,ni,ec,hn,gf,sv,bz,bm,gt,pe,bo,br,mx,us,pm,py,cv,uy,cl,ar,gm,ca,gw,sn,eh,mr,sl,gn,lr,pt,ma,gl,gi,ci,is,ml,ie,es,fk,im,gg,je,bf,gb,fo,gh,dz,ad,pn,sh,fr,tg,bj,be,nl,lu,mc,gs,ch,no,li,dk,tn,de,ne,sm,va,it,st,ng,at,si,cz,hr,mt,se,sj,gq,ba,pl,sk,hu,cm,me,ga,ly,al,fi,rs,lt,ee,xk,lv,mk,gr,ro,by,td,pf,bg,cg,md,ua,cf,ao,bv,cd,na,cy,eg,tr,gz,ck,lb,il,ps,sd,jo,aq,sy,ge,za,bw,rw,zm,bi,am,ki,ug,az,iq,zw,ls,as,nu,tk,er,sz,tz,ws,mw,kw,ru,sa,ke,et,mz,dj,kz,to,ir,tm,bh,wf,qa,uz,ye,so,ae,fj,tv,km,yt,om,tj,kg,mh,nz,af,mg,mn,pk,nr,nf,sc,jp,kp,vu,re,nc,mu,kr,hm,tf,cn,sb,np,in,mp,bt,fm,gu,bd,mv,io,tw,mm,lk,hk,mo,la,pg,pw,th,ph,vn,kh,au,my,bn,sg,tl,cc,id,cx
ao,ao,cd,zm,cg,na,ga,bw,zw,bi,gq,rw,st,mw,tz,cf,mz,ug,cm,za,sz,ls,ng,ke,km,bj,tg,td,yt,gh,sd,mg,sh,ci,et,bf,ne,lr,so,dj,er,gn,sl,ml,re,ly,sc,mu,eg,gw,ye,sn,gm,dz,mr,sa,bv,il,jo,gz,tn,ps,eh,mt,lb,cy,qa,bh,ma,ae,kw,cv,om,sy,gr,iq,gi,al,tr,mk,it,va,io,xk,me,bg,ba,rs,sm,es,ir,mc,ad,pt,hr,mv,tf,am,si,ro,az,hu,ge,ch,at,li,fr,md,sk,gs,ua,hm,cz,lu,de,be,je,pl,gg,tm,nl,pk,aq,af,lk,by,lt,dk,uz,br,in,im,lv,ie,gb,ee,uy,tj,se,no,gf,py,fi,kz,fk,kg,sr,np,fo,ar,cc,gy,bo,bd,bt,bb,is,tt,lc,vc,gd,mq,dm,cl,mm,ag,gp,ms,kn,my,ai,ve,cx,sg,th,vg,vi,pm,pr,sj,la,an,kh,bm,aw,pe,do,gl,co,vn,cn,ht,tc,mn,ec,id,bn,jm,ru,cu,mo,bs,hk,pa,ky,cr,ni,tl,ph,tw,hn,au,sv,bz,gt,kp,kr,us,pw,ca,jp,mx,pg,nz,gu,mp,nf,pn,fm,nc,sb,vu,to,fj,nr,ck,pf,nu,wf,tv,ws,as,mh,tk,ki
aq,aq,bv,gs,fk,hm,tf,za,ar,ls,uy,cl,sz,sh,na,bw,zw,py,mz,re,mg,mu,nz,zm,mw,ao,br,yt,bo,km,tz,cd,bi,pn,ga,au,rw,nf,st,cg,gq,sc,pe,ke,ug,io,cc,lr,ck,cf,ci,cm,gh,nc,to,cx,tg,sl,ng,bj,so,gf,pf,ec,gn,nu,sr,gy,bf,gw,et,fj,mv,vu,gm,tl,sd,sn,as,ve,co,ws,dj,wf,td,cv,ml,ne,tt,er,sb,sg,gd,id,lk,bb,ye,vc,tk,pg,pa,lc,mr,an,my,aw,mq,tv,cr,dm,ms,gp,ag,eh,kn,bn,ki,ai,ni,vi,vg,pr,ly,om,sv,sa,do,dz,hn,nr,ht,eg,ae,jm,gt,qa,kh,bh,bz,tc,ky,ma,in,pw,cu,th,vn,jo,il,kw,gz,tn,ps,fm,ph,bs,gi,lb,mt,mh,iq,la,cy,mm,sy,bd,ir,pk,pt,bm,gr,gu,es,np,mx,tr,bt,al,mo,af,it,va,hk,mk,ad,me,xk,am,mc,bg,mp,sm,az,ba,rs,tm,tw,hr,ge,fr,si,ch,ro,li,tj,hu,at,uz,md,je,sk,gg,lu,ua,cz,be,kg,de,us,nl,pm,pl,cn,ie,im,by,gb,kz,lt,dk,lv,kr,ee,no,se,jp,fo,kp,fi,mn,is,ca,gl,ru,sj
